Product ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Delivery time of in-stock products;Delivery time of out-of-stock products with allowed orders;Quantity;Minimal quantity;Low stock level;Send me an email when the quantity is under this level;Visibility;Additional shipping cost;Unity;Unit price;Summary;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Image alt texts (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock action;Virtual product;File URL;Number of allowed downloads;Expiration date;Number of days;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse;Acessories  (x,y,z...)
11881;1;Dark Misty Forest Plakat;Lasy;96.747967;1;;;;;;;11881;dark-misty-forest-plakat;;;;;0;0.13;0.18;0.021;0.18;3-7;3-7;100;1;0;0;both;;;;;<br />;Lasy;Dark Misty Forest Plakat;;Kupuj popularne obrazy online, na stronie Desenio.pl Wybieraj spośród mnóstwa modnych plakatów w stylu skandynawskim. Szybka dostawa i wiele zadowolonych klientów. Plakaty i reprodukcje ze sztuką nowoczesną w najlepszym stylu.;dark-misty-forest-plakat;W Magazynie.;Brak w magazynie;1;;;1;/var/www/html/images/11881_2.jpg;Dark Misty Forest Plakat / Natura i krajobrazy w Desenio AB (11881);1;;0;new;0;0;0;0;0;;;;;0;0;0;0;
10241;1;Misty Rainforest Plakat;Lasy;56.097561;1;;;;;;;10241;misty-rainforest-plakat;;;;;0;0.13;0.18;0.021;0.18;3-7;3-7;100;1;0;0;both;;;;;<br />;Lasy;Misty Rainforest Plakat;;Kupuj popularne obrazy online, na stronie Desenio.pl Wybieraj spośród mnóstwa modnych plakatów w stylu skandynawskim. Szybka dostawa i wiele zadowolonych klientów. Plakaty i reprodukcje ze sztuką nowoczesną w najlepszym stylu.;misty-rainforest-plakat;W Magazynie.;Brak w magazynie;1;;;1;/var/www/html/images/10241_2.jpg;Misty Rainforest Plakat / Natura i krajobrazy w Desenio AB (10241);1;;0;new;0;0;0;0;0;;;;;0;0;0;0;
8307;1;Forest Hills, Plakat;Lasy;56.097561;1;;;;;;;8307;forest-hills-plakat;;;;;0;0.13;0.18;0.021;0.18;3-7;3-7;100;1;0;0;both;;;;;<br />;Lasy;Forest Hills, Plakat;;Reprodukcja fotografii przyrody, piękne zdjęcie gór. Dobrze pasuje do różnych stylów wystroju wnętrz. Kupuj w korzystnych cenach reprodukcje na stronie Desenio.pl;forest-hills-plakat;W Magazynie.;Brak w magazynie;1;;;1;/var/www/html/images/8307_2.jpg;Forest Hills, Plakat / Natura i krajobrazy w Desenio AB (8307);1;;0;new;0;0;0;0;0;;;;;0;0;0;0;
2712;1;Forest Bridge Plakat;Lasy;56.097561;1;;;;;;;2712;forest-bridge-plakat;;;;;0;0.13;0.18;0.021;0.18;3-7;3-7;100;1;0;0;both;;;;;<br />;Lasy;Forest Bridge Plakat;;Kupuj popularne obrazy online, na stronie Desenio.pl Wybieraj spośród mnóstwa modnych plakatów w stylu skandynawskim. Szybka dostawa i wiele zadowolonych klientów. Plakaty i reprodukcje ze sztuką nowoczesną w najlepszym stylu.;forest-bridge-plakat;W Magazynie.;Brak w magazynie;1;;;1;/var/www/html/images/2712_2.jpg;Forest Bridge Plakat / Tropiki w Desenio AB (2712);1;;0;new;0;0;0;0;0;;;;;0;0;0;0;
14910;1;A Day Out Plakat;Lasy;56.097561;1;;;;;;;14910;a-day-out-plakat;;;;;0;0.13;0.18;0.021;0.18;3-7;3-7;100;1;0;0;both;;;;Rower w słońcu – Zdjęcie lasu z rowerem stojącym na środku drogi z blaskiem światła słonecznego;Zdjęcie roweru na leśnej dróżce, z promieniami słonecznymi przeświecającymi między drzewami. Jeśli pragniesz zanurzyć się w ciszy i spokoju w zaciszu własnego domu, plakaty przyrodnicze to świetny wybór.<br /><br />Plakat wydrukowany z białym obramowaniem, które ładnie podkreśla kompozycję.<br /><br />;Lasy;A Day Out Plakat;a, day, out, plakat, rower, w, słońcu, desenio.pl;A Day Out Plakat  – Zdjęcie lasu z rowerem stojącym na środku drogi z blaskiem światła słonecznego - Desenio.pl;a-day-out-plakat;W Magazynie.;Brak w magazynie;1;;;1;/var/www/html/images/14910_2.jpg; – Zdjęcie lasu z rowerem stojącym na środku drogi z blaskiem światła słonecznego;1;;0;new;0;0;0;0;0;;;;;0;0;0;0;
10237;1;Black Beach Aerial Plakat;Morza i oceany;56.097561;1;;;;;;;10237;black-beach-aerial-plakat;;;;;0;0.13;0.18;0.021;0.18;3-7;3-7;100;1;0;0;both;;;;;<br />;Morza i oceany;Black Beach Aerial Plakat;;Kupuj popularne obrazy online, na stronie Desenio.pl Wybieraj spośród mnóstwa modnych plakatów w stylu skandynawskim. Szybka dostawa i wiele zadowolonych klientów. Plakaty i reprodukcje ze sztuką nowoczesną w najlepszym stylu.;black-beach-aerial-plakat;W Magazynie.;Brak w magazynie;1;;;1;/var/www/html/images/10237_2.jpg;Black Beach Aerial Plakat / Czarno-białe w Desenio AB (10237);1;;0;new;0;0;0;0;0;;;;;0;0;0;0;
14680;1;Surf Yoga Plakat;Morza i oceany;56.097561;1;;;;;;;14680;surf-yoga-plakat;;;;;0;0.13;0.18;0.021;0.18;3-7;3-7;100;1;0;0;both;;;;Joga na jeziorze – Czarno-białe zdjęcie z kobietą wykonującą pozycję jogi na desce surfingowej na środku jeziora;Czarno-białe zdjęcie z kobietą stojącą na desce surfingowej w jeziorze, wykonującą pozycję jogi. Chyba nie ma lepszego miejsca na zebranie myśli i uprawianie jogi niż łono natury. Samoopieka to podstawa!<br /><br />Plakat wydrukowany z białym obramowaniem, które ładnie podkreśla kompozycję.<br /><br />;Morza i oceany;Surf Yoga Plakat;surf, yoga, plakat, joga, na, jeziorze, desenio.pl;Surf Yoga Plakat  – Czarno-białe zdjęcie z kobietą wykonującą pozycję jogi na desce surfingowej na środku jeziora - Desenio.pl;surf-yoga-plakat;W Magazynie.;Brak w magazynie;1;;;1;/var/www/html/images/14680_2.jpg; – Czarno-białe zdjęcie z kobietą wykonującą pozycję jogi na desce surfingowej na środku jeziora;1;;0;new;0;0;0;0;0;;;;;0;0;0;0;
10476;1;Wooden Boats Plakat;Morza i oceany;56.097561;1;;;;;;;10476;wooden-boats-plakat;;;;;0;0.13;0.18;0.021;0.18;3-7;3-7;100;1;0;0;both;;;;;<br />;Morza i oceany;Wooden Boats Plakat;;Kupuj popularne obrazy online, na stronie Desenio.pl Wybieraj spośród mnóstwa modnych plakatów w stylu skandynawskim. Szybka dostawa i wiele zadowolonych klientów. Plakaty i reprodukcje ze sztuką nowoczesną w najlepszym stylu.;wooden-boats-plakat;W Magazynie.;Brak w magazynie;1;;;1;/var/www/html/images/10476_2.jpg;Wooden Boats Plakat / Natura i krajobrazy w Desenio AB (10476);1;;0;new;0;0;0;0;0;;;;;0;0;0;0;
10229;1;Black Beach Above Plakat;Morza i oceany;56.097561;1;;;;;;;10229;black-beach-above-plakat;;;;;0;0.13;0.18;0.021;0.18;3-7;3-7;100;1;0;0;both;;;;;<br />;Morza i oceany;Black Beach Above Plakat;;Kupuj popularne obrazy online, na stronie Desenio.pl Wybieraj spośród mnóstwa modnych plakatów w stylu skandynawskim. Szybka dostawa i wiele zadowolonych klientów. Plakaty i reprodukcje ze sztuką nowoczesną w najlepszym stylu.;black-beach-above-plakat;W Magazynie.;Brak w magazynie;1;;;1;/var/www/html/images/10229_2.jpg;Black Beach Above Plakat / Natura i krajobrazy w Desenio AB (10229);1;;0;new;0;0;0;0;0;;;;;0;0;0;0;
12930;1;Amalfi View Plakat;Morza i oceany;56.097561;1;;;;;;;12930;amalfi-view-poster;;;;;0;0.13;0.18;0.021;0.18;3-7;3-7;100;1;0;0;both;;;;;<br />;Morza i oceany;Amalfi View Plakat;;Kupuj popularne obrazy online, na stronie Desenio.pl Wybieraj spośród mnóstwa modnych plakatów w stylu skandynawskim. Szybka dostawa i wiele zadowolonych klientów. Plakaty i reprodukcje ze sztuką nowoczesną w najlepszym stylu.;amalfi-view-poster;W Magazynie.;Brak w magazynie;1;;;1;/var/www/html/images/12930_2.jpg;Amalfi View Plakat / Natura i krajobrazy w Desenio AB (12930);1;;0;new;0;0;0;0;0;;;;;0;0;0;0;
co0042;1;Waves Plakat;Morza i oceany;39.837398;1;;;;;;;co0042;waves-plakat;;;;;0;0.13;0.18;0.021;0.18;3-7;3-7;100;1;0;0;both;;;;Fale rozbijające się o brzeg - Zdjęcie w pastelowych barwach przedstawiające fale rozbijające się o brzeg;Zdjęcie przedstawiające ocean i fale rozbijające się o brzeg. Pastelowe barwy i piękne widoki natury czynią to zdjęcie wyjątkowym! Spokojna grafika doskonale pasuje do domu, w którym pragniesz stworzyć przyjazną atmosferę. Plakat pochodzi z kolekcji Art For Oceans stworzonej przez Desenio w celu wsparcia organizacji Blue Marine Foundation. <br /><br />Zdjęcie okala biała elegancka ramka.<br /><br />;Morza i oceany;Waves Plakat;waves, plakat, fale, rozbijające, się, o, brzeg, desenio.pl;Waves Plakat  - Zdjęcie w pastelowych barwach przedstawiające fale rozbijające się o brzeg - Desenio.pl;waves-plakat;W Magazynie.;Brak w magazynie;1;;;1;/var/www/html/images/co0042_2.jpg; - Zdjęcie w pastelowych barwach przedstawiające fale rozbijające się o brzeg;1;;0;new;0;0;0;0;0;;;;;0;0;0;0;
co0049;1;Ocean Life Plakat;Morza i oceany;39.837398;1;;;;;;;co0049;ocean-life-plakat;;;;;0;0.13;0.18;0.021;0.18;3-7;3-7;100;1;0;0;both;;;;Niespokojny ocean - Zdjęcie przedstawiające błękitny ocean i pianę morską z lotu ptaka;Zdjęcie z lotu ptaka przedstawiające morską pianę na tle błękitnego oceanu. Wypełnij swój dom ujmującymi plakatami natury, które podkreślają piękno oceanów za sprawą niebieskich pasteli. Wkrótce przekonasz się, ile siły mogą Ci dodać! Plakat pochodzi z kolekcji Art For Oceans stworzonej przez Desenio w celu wsparcia organizacji Blue Marine Foundation. <br /><br />Zdjęcie okala biała elegancka ramka.<br /><br />;Morza i oceany;Ocean Life Plakat;ocean, life, plakat, niespokojny, ocean, desenio.pl;Ocean Life Plakat  - Zdjęcie przedstawiające błękitny ocean i pianę morską z lotu ptaka - Desenio.pl;ocean-life-plakat;W Magazynie.;Brak w magazynie;1;;;1;/var/www/html/images/co0049_2.jpg; - Zdjęcie przedstawiające błękitny ocean i pianę morską z lotu ptaka;1;;0;new;0;0;0;0;0;;;;;0;0;0;0;
co0041;1;Deep Soul Plakat;Morza i oceany,Plakaty z cytatami;39.837398;1;;;;;;;co0041;deep-soul-plakat;;;;;0;0.13;0.18;0.021;0.18;3-7;3-7;100;1;0;0;both;;;;Niczym ocean - Zdjęcie przedstawiające zbliżenie na falę i cytat nawiązujący do podobieństw między duszą a oceanami;Zdjęcie fali morskiej z podpisem „Like the ocean the soul is deep and we know not of what it holds” w kolorze białym. Zapierająca dech w piersiach fotografia i inspirujący cytat tworzą idealne połączenie! Plakat pochodzi z kolekcji Art For Oceans stworzonej przez Desenio w celu wsparcia organizacji Blue Marine Foundation.<br /><br />;Morza i oceany,Plakaty z cytatami;Deep Soul Plakat;deep, soul, plakat, niczym, ocean, desenio.pl;Deep Soul Plakat  - Zdjęcie przedstawiające zbliżenie na falę i cytat nawiązujący do podobieństw między duszą a oceanami - Desenio.pl;deep-soul-plakat;W Magazynie.;Brak w magazynie;1;;;1;/var/www/html/images/co0041_2.jpg; - Zdjęcie przedstawiające zbliżenie na falę i cytat nawiązujący do podobieństw między duszą a oceanami;1;;0;new;0;0;0;0;0;;;;;0;0;0;0;
15020;1;Young Hearts Run Free Plakat;Morza i oceany;64.227642;1;;;;;;;15020;young-hearts-run-free-plakat;;;;;0;0.13;0.18;0.021;0.18;3-7;3-7;100;1;0;0;both;;;;Kobieta na molo – Zdjęcie kobiety stojącej na niewielkim molo, ubranej w białą sukienkę i trzymającej bukiet kwiatów;Zdjęcie kobiety w długiej, białej sukience, stojącej na niewielkim molo i trzymającej bukiet kwiatów. Doceń w swoim życiu nowe początki, zmieniając plakaty artystyczne na ścianach swojego domu.<br /><br />Ten obraz jest częścią kolekcji zdjęć autorstwa Desenio  – Studio Daydreamer.<br />Plakat wydrukowany z białym obramowaniem, które ładnie podkreśla kompozycję.<br /><br />;Morza i oceany;Young Hearts Run Free Plakat;young, hearts, run, free, plakat, kobieta, na, molo, desenio.pl;Young Hearts Run Free Plakat  – Zdjęcie kobiety stojącej na niewielkim molo, ubranej w białą sukienkę i trzymającej bukiet kwiatów - Desenio.pl;young-hearts-run-free-plakat;W Magazynie.;Brak w magazynie;1;;;1;/var/www/html/images/15020_2.jpg; – Zdjęcie kobiety stojącej na niewielkim molo, ubranej w białą sukienkę i trzymającej bukiet kwiatów;1;;0;new;0;0;0;0;0;;;;;0;0;0;0;
2423;1;Bondi Beach Ocean Pool Plakat;Morza i oceany;56.097561;1;;;;;;;2423;bondi-beach-ocean-pool-plakat;;;;;0;0.13;0.18;0.021;0.18;3-7;3-7;100;1;0;0;both;;;;;<br />;Morza i oceany;Bondi Beach Ocean Pool Plakat;;Kupuj popularne obrazy online, na stronie Desenio.pl Wybieraj spośród mnóstwa modnych plakatów w stylu skandynawskim. Szybka dostawa i wiele zadowolonych klientów. Plakaty i reprodukcje ze sztuką nowoczesną w najlepszym stylu.;bondi-beach-ocean-pool-plakat;W Magazynie.;Brak w magazynie;1;;;1;/var/www/html/images/2423_2.jpg;Bondi Beach Ocean Pool Plakat / Natura i krajobrazy w Desenio AB (2423);1;;0;new;0;0;0;0;0;;;;;0;0;0;0;
8115;1;Island, Plakat;Morza i oceany;56.097561;1;;;;;;;8115;island-plakat;;;;;0;0.13;0.18;0.021;0.18;3-7;3-7;100;1;0;0;both;;;;;<br />;Morza i oceany;Island, Plakat;;Plakat z czarno-białym zdjęciem wyspy w otoczeniu wody i mgły. Reprodukcja pięknej fotografii. Więcej reprodukcji sztuki fotograficznej znajdziesz w naszym sklepie internetowym. Korzystając z naszych stylowych reprodukcji możesz stworzyć całą ścianę dekoracyjną.;island-plakat;W Magazynie.;Brak w magazynie;1;;;1;/var/www/html/images/8115_2.jpg;Island, Plakat / Czarno-białe w Desenio AB (8115);1;;0;new;0;0;0;0;0;;;;;0;0;0;0;
8113;1;Boat, Plakat;Morza i oceany;56.097561;1;;;;;;;8113;boat-plakat;;;;;0;0.13;0.18;0.021;0.18;3-7;3-7;100;1;0;0;both;;;;;<br />;Morza i oceany;Boat, Plakat;;Plakat ze zdjęciem jeziora we mgle. Reprodukcja z piękną sztuką fotograficzną utrzymana w czarno-białej kolorystyce. W naszym sklepie internetowym znajdziesz więcej precyzyjnie zaprojektowanych reprodukcji ze zdjęciami oraz wiele stylowych reprodukcji i artykułów do dekoracji wnętrz za dobrą cenę.;boat-plakat;W Magazynie.;Brak w magazynie;1;;;1;/var/www/html/images/8113_2.jpg;Boat, Plakat / Czarno-białe w Desenio AB (8113);1;;0;new;0;0;0;0;0;;;;;0;0;0;0;
