Product ID*;Product Reference;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Low stock level;Send email when quantity is below this level;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URLs (x,y,z...);Image alt texts (x,y,z...);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
317;13974;Rozmiar:select:0;30x40 cm:0;proud-plant-lady-plakat-30x40-cm;proud-plant-lady-plakat-30x40-cm;;;;16.260163;0;100;1;0;0;0.1;0;;1;/var/www/html/images/13974_2.jpg; – Obraz z tekstem w kolorze białym i turkusowym z cytatem „Plant lady and proud”;0;0;0;0
318;13604;Rozmiar:select:0;21x30 cm:0;mixed-feelings-plakat-21x30-cm;mixed-feelings-plakat-21x30-cm;;;;0.0;0;100;1;0;0;0.0;1;;1;/var/www/html/images/13604_2.jpg;Mixed Feelings Plakat / Humor w Desenio AB (13604);0;0;0;0
319;7914;Rozmiar:select:0;21x30 cm:0;graphic-m-plakat-21x30-cm;graphic-m-plakat-21x30-cm;;;;0.0;0;100;1;0;0;0.0;1;;1;/var/www/html/images/7914_2.jpg;Graphic M, Plakat / Litery w Desenio AB (7914);0;0;0;0
319;7914;Rozmiar:select:0;30x40 cm:0;graphic-m-plakat-30x40-cm;graphic-m-plakat-30x40-cm;;;;16.260163;0;100;1;0;0;0.1;0;;1;/var/www/html/images/7914_2.jpg;Graphic M, Plakat / Litery w Desenio AB (7914);0;0;0;0
319;7914;Rozmiar:select:0;50x70 cm:0;graphic-m-plakat-50x70-cm;graphic-m-plakat-50x70-cm;;;;48.780488;0;100;1;0;0;0.2;0;;1;/var/www/html/images/7914_2.jpg;Graphic M, Plakat / Litery w Desenio AB (7914);0;0;0;0
320;2504;Rozmiar:select:0;21x30 cm:0;alphabet-l-plakat-21x30-cm;alphabet-l-plakat-21x30-cm;;;;0.0;0;100;1;0;0;0.0;1;;1;/var/www/html/images/2504_2.jpg;Alphabet L Plakat / Plakaty dla dzieci w Desenio AB (2504);0;0;0;0
320;2504;Rozmiar:select:0;30x40 cm:0;alphabet-l-plakat-30x40-cm;alphabet-l-plakat-30x40-cm;;;;16.260163;0;100;1;0;0;0.1;0;;1;/var/www/html/images/2504_2.jpg;Alphabet L Plakat / Plakaty dla dzieci w Desenio AB (2504);0;0;0;0
321;2497;Rozmiar:select:0;21x30 cm:0;alphabet-e-plakat-21x30-cm;alphabet-e-plakat-21x30-cm;;;;0.0;0;100;1;0;0;0.0;1;;1;/var/www/html/images/2497_2.jpg;Alphabet E Plakat / Plakaty dla dzieci w Desenio AB (2497);0;0;0;0
321;2497;Rozmiar:select:0;30x40 cm:0;alphabet-e-plakat-30x40-cm;alphabet-e-plakat-30x40-cm;;;;16.260163;0;100;1;0;0;0.1;0;;1;/var/www/html/images/2497_2.jpg;Alphabet E Plakat / Plakaty dla dzieci w Desenio AB (2497);0;0;0;0
322;2494;Rozmiar:select:0;21x30 cm:0;alphabet-b-plakat-21x30-cm;alphabet-b-plakat-21x30-cm;;;;0.0;0;100;1;0;0;0.0;1;;1;/var/www/html/images/2494_2.jpg;Alphabet B Plakat / Plakaty dla dzieci w Desenio AB (2494);0;0;0;0
322;2494;Rozmiar:select:0;30x40 cm:0;alphabet-b-plakat-30x40-cm;alphabet-b-plakat-30x40-cm;;;;16.260163;0;100;1;0;0;0.1;0;;1;/var/www/html/images/2494_2.jpg;Alphabet B Plakat / Plakaty dla dzieci w Desenio AB (2494);0;0;0;0
323;14052;Rozmiar:select:0;21x30 cm:0;l-o-v-e-no2-plakat-21x30-cm;l-o-v-e-no2-plakat-21x30-cm;;;;0.0;0;100;1;0;0;0.0;1;;1;/var/www/html/images/14052_2.jpg; – Plakat typograficzny w kolorach różowym i czarnym z graficznymi literami „V” i „E”;0;0;0;0
323;14052;Rozmiar:select:0;30x40 cm:0;l-o-v-e-no2-plakat-30x40-cm;l-o-v-e-no2-plakat-30x40-cm;;;;16.260163;0;100;1;0;0;0.1;0;;1;/var/www/html/images/14052_2.jpg; – Plakat typograficzny w kolorach różowym i czarnym z graficznymi literami „V” i „E”;0;0;0;0
323;14052;Rozmiar:select:0;50x70 cm:0;l-o-v-e-no2-plakat-50x70-cm;l-o-v-e-no2-plakat-50x70-cm;;;;48.780488;0;100;1;0;0;0.2;0;;1;/var/www/html/images/14052_2.jpg; – Plakat typograficzny w kolorach różowym i czarnym z graficznymi literami „V” i „E”;0;0;0;0
