Product ID*;Product Reference;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Low stock level;Send email when quantity is below this level;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URLs (x,y,z...);Image alt texts (x,y,z...);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
5;12494;Rozmiar:select:0;50x70 cm:0;watercolor-kiss-plakat-50x70-cm;watercolor-kiss-plakat-50x70-cm;;;;89.430895;0;100;1;0;0;0.4;0;;1;http://localhost/images/12494_2.jpg; – Czarno-biała akwarelowa ilustracja kobiety całującej mężczyznę w policzek;0;0;0;0
5;12494;Rozmiar:select:0;70x100 cm:0;watercolor-kiss-plakat-70x100-cm;watercolor-kiss-plakat-70x100-cm;;;;121.95122;0;100;1;0;0;0.5;0;;1;http://localhost/images/12494_2.jpg; – Czarno-biała akwarelowa ilustracja kobiety całującej mężczyznę w policzek;0;0;0;0
6;12126;Rozmiar:select:0;13x18 cm:0;almost-kiss-plakat-13x18-cm;almost-kiss-plakat-13x18-cm;;;;0.0;0;100;1;0;0;0.0;1;;1;http://localhost/images/12126_2.jpg; – Czarno-biała grafika geometryczna z dwiema twarzami zbliżającymi się do pocałunku;0;0;0;0
6;12126;Rozmiar:select:0;21x30 cm:0;almost-kiss-plakat-21x30-cm;almost-kiss-plakat-21x30-cm;;;;24.390244;0;100;1;0;0;0.1;0;;1;http://localhost/images/12126_2.jpg; – Czarno-biała grafika geometryczna z dwiema twarzami zbliżającymi się do pocałunku;0;0;0;0
6;12126;Rozmiar:select:0;30x40 cm:0;almost-kiss-plakat-30x40-cm;almost-kiss-plakat-30x40-cm;;;;40.650407;0;100;1;0;0;0.2;0;;1;http://localhost/images/12126_2.jpg; – Czarno-biała grafika geometryczna z dwiema twarzami zbliżającymi się do pocałunku;0;0;0;0
6;12126;Rozmiar:select:0;40x50 cm:0;almost-kiss-plakat-40x50-cm;almost-kiss-plakat-40x50-cm;;;;56.91057;0;100;1;0;0;0.3;0;;1;http://localhost/images/12126_2.jpg; – Czarno-biała grafika geometryczna z dwiema twarzami zbliżającymi się do pocałunku;0;0;0;0
6;12126;Rozmiar:select:0;50x70 cm:0;almost-kiss-plakat-50x70-cm;almost-kiss-plakat-50x70-cm;;;;81.300813;0;100;1;0;0;0.4;0;;1;http://localhost/images/12126_2.jpg; – Czarno-biała grafika geometryczna z dwiema twarzami zbliżającymi się do pocałunku;0;0;0;0
6;12126;Rozmiar:select:0;70x100 cm:0;almost-kiss-plakat-70x100-cm;almost-kiss-plakat-70x100-cm;;;;113.821139;0;100;1;0;0;0.5;0;;1;http://localhost/images/12126_2.jpg; – Czarno-biała grafika geometryczna z dwiema twarzami zbliżającymi się do pocałunku;0;0;0;0
6;12126;Rozmiar:select:0;100x150 cm:0;almost-kiss-plakat-100x150-cm;almost-kiss-plakat-100x150-cm;;;;308.94309;0;100;1;0;0;0.6;0;;1;http://localhost/images/12126_2.jpg; – Czarno-biała grafika geometryczna z dwiema twarzami zbliżającymi się do pocałunku;0;0;0;0
7;12695;Rozmiar:select:0;21x30 cm:0;abstract-figures-no2-plakat-21x30-cm;abstract-figures-no2-plakat-21x30-cm;;;;0.0;0;100;1;0;0;0.0;1;;1;http://localhost/images/12695_2.jpg; – Abstrakcyjna ilustracja z dwiema osobami narysowanymi w stylu grafik geometrycznych, całującymi się w objęciach;0;0;0;0
