Category ID;Active (0/1);Name *;Parent category;Root category (0/1);Description;Meta title;Meta keywords;Meta description;URL rewritten;Image URL
463;1;Typografia;25;0;Plakaty typograficzne pasują do wszystkich wnętrz. W tej kategorii znajdziesz plakaty typograficzne w wersji czarno-białej i kolorowej oraz w różnych stylach i z różną czcionką. Łatwo więc wybierzesz taki, który najlepiej będzie pasować do Twojego domu. W naszej szerokiej ofercie każdy znajdzie coś dla siebie. Plakaty typograficzne świetnie sprawdzą się jako osobisty akcent na ścianie z obrazami.;Typografia;;Kup plakaty typograficzne online! Odkryj nasze plakaty typograficzne w różnych stylach i kolorach. Kup teraz w Desenio.pl;typografia-2;
48;1;Ramki;Strona główna;0;Wykorzystaj nasze wysokiej jakości ramki do plakatów i zdjęć i stwórz kompletną galerię na ścianie. Oferujemy eleganckie ramki do zdjęć w kolorze czarnym, białym i kolorze dębu, a także ramki metalowe w kolorze złotym, srebrnym i miedzianym. Ramki są dostępne w ośmiu rozmiarach, od małych ramek do zdjęć o wymiarach 13 x 18 cm, po duże ramki do plakatów o wymiarach 70 x 100 cm.;Ramki;;Kupuj ramki online, na stronie internetowej Desenio! Oferujemy ramki w różnym stylu i różnych rozmiarach. Pasują do wszystkich naszych plakatów. Kup ramkę online, na stronie Desenio — niskie ceny i wysoka jakość.;ramki;
171;1;Rozmiary;48;0;Przeglądaj tutaj cały nasz asortyment według rozmiaru. Nasze ramki są dostępne w większości standardowych rozmiarów i, rzecz jasna, pasują do naszych plakatów i reprodukcji, co pozwala stworzyć kompletny kolaż!;Rozmiary;;Znajdź niedrogie małe i duże ramki w sklepie internetowym Desenio. Oferujemy ramki w 8 rozmiarach standardowych, a także w formatach: A3, A4 i A5. Kupuj ramki według rozmiaru, od 13 x 18 cm do 70 x 100 cm. Wszystkie ramki pasują do naszych plakatów.;rozmiary-ramki;
172;1;13x18 cm;171;0;W tej kategorii znajdują się wszystkie nasze ramki o wymiarach 13 x 18 cm. Oferujemy ramki w różnych kolorach i wykonane z różnych materiałów — możesz wybrać takie, które najlepiej będą pasować do Twojego domu. Nasze ramki o wymiarach 13 x 18 cm łatwo jest złożyć. Z tyłu wyposażone są w podpórkę, która umożliwia ich postawienie. Połącz różne ramki i stwórz modną ścianę z obrazami.;13x18 cm;;Kup małe ramki o wymiarach 13 x 18 cm. Niedrogie małe ramki z drewna lub metalu. Wysokiej jakości ramki do plakatów i zdjęć z Desenio.;13x18-ramki;
173;1;21x30 cm;171;0;W tej kategorii zebraliśmy wszystkie ramki o wymiarach 21 x 30 cm. Oferujemy szeroką gamę ramek wykonanych z różnych materiałów i w różnych kolorach. Mamy również zawieszki i oprawy do plakatów w tych samych wymiarach. Połącz ze sobą i dopasuj kilka ramek o różnych wymiarach i kolorach i stwórz modną ścianę z obrazami!;21x30 cm;;Ramki do plakatów w formacie A4, 21 x 30 cm. Odkryj nasz asortyment drewnianych i metalowych ramek. Kupuj niedrogie ramki do plakatów online na stronie internetowej Desenio.;21x30-ramki;
174;1;30x40 cm;171;0;W tej kategorii znajdują się nasze ramki 30 x 40 cm, doskonale dopasowane do Twoich plakatów. Oferujemy ramki o tych wymiarach w różnych kolorach i z wykonane różnych materiałów. Znajdź te, które najbardziej Ci się podobają, połącz i dopasuj do siebie kilka z nich i skomponuj modną ścianę z obrazami!;30x40 cm;;Niedrogie, wysokiej jakości ramki o wymiarach 30 x 40 cm. Odkryj na stronie Desenio.pl nowoczesne ramki o wymiarach 30 x 40 cm w kolorze czarnym, białym oraz kolorze drewna i metalu.;30x40-ramki;
175;1;40x50 cm;171;0;Tutaj znajdziesz nasze ramki o wymiarach 40 x 50 cm w wielu różnych kolorach i wykonane z wielu różnych materiałów. Łącząc i zawieszając obok siebie kilka różnych ramek łatwo stworzysz modną ścianę z obrazami. W tej kategorii znajdziesz zawieszki do plakatów stanowiące modną alternatywę dla ramek tradycyjnych.;40x50 cm;;Ramki do plakatów o wymiarach 40 x 50 cm. Oferujemy niedrogie, wysokiej jakości ramki wykonane z metalu i drewna. Możesz je kupić na stronie Desenio.pl.;40x50-ramki;
176;1;50x50 cm;171;0;W tej kategorii znajdziesz naszą kolekcję ramek o wymiarach 50 x 50 cm. Są oferowane w różnych kolorach i wykonane z różnych materiałów Możesz więc dobrać odpowiednie artykuły do wystroju wnętrza w każdym stylu i do każdego domu. Połącz i dopasuj ramki w różnych wariantach kolorystycznych i wykonane z różnych materiałów, aby stworzyć modną ścianę z obrazami!;50x50 cm;;Kwadratowa ramka do plakatu o wymiarach 50 x 50 cm. Odkryj wysokiej jakości, niedrogie ramki z drewna i metalu. Stwórz komplet z reprodukcjami dzieł sztuki z oferty Desenio.;50x50-ramki;
177;1;50x70 cm;171;0;Tutaj zebraliśmy wszystkie nasze ramki o wymiarach 50 x 70 cm. Oferujemy ramki w różnych kolorach i wielkościach. Można je elegancko połączyć, uzyskując modny efekt.;50x70 cm;;Ramki do plakatów i reprodukcji sztuki o wymiarach 50 x 70 cm. Kupuj w Desenio wysokiej jakości ramki w świetnych cenach. Wybieraj spośród 8 różnych rozmiarów.;50x70-ramki;
179;1;70x100 cm;171;0;W tej kategorii znajdują się wszystkie nasze duże ramki o wymiarach 70 x 100 cm. Są dostępne w różnych wersjach kolorystycznych i materiałowych. Oferujemy też oprawy, które gustownie okalają zdjęcia, plakaty i reprodukcje, dodając im klasy!;70x100cm;;Kupuj duże ramki o wymiarach 70 x 100 cm. Nasze ramki są odpowiednie do plakatów o wymiarach 70 x 100 cm. Kup w Desenio zarówno ramkę jak i plakat.;70x100-ramki;
892;1;100x150 cm;171;0;Podkreśl wygląd swoich ścian, korzystając z naszych ramek o wymiarach 100x150 cm! Jak wiadomo, duże, przyciągające wzrok plakaty potrzebują ram, które podkreślą ich najlepsze strony. Nasze drewniane ramki 100x150 są dostępne zarówno w kolorze czarnym, jak i białym. Po oprawieniu w nasze duże ramki 100x150 Twoje dzieło sztuki będzie odpowiednio zaakcentowane!;100x150 cm;;Tutaj znajdziesz duże ramki w rozmiarze 100x150 cm. Kup duże ramki online. Oferujemy szybką dostawę i bezpieczne płatności. Kup teraz na stronie Desenio.pl;100x150-2;
140;1;Czarne drewniane ramki;48;0;Wysokiej jakości czarne drewniane ramki można z łatwością otworzyć od tyłu i włożyć w nie plakat. Mają elegancki, smukły profil i płasko przylegają do ściany. Ozdób swoją ścianę z obrazami, łącząc te ramki z naszymi czarnymi, metalowymi klipsami.;Czarne drewniane ramki;;Kup czarne ramki do swoich plakatów. Na stronie internetowej Desenio znajdziesz nasze stylowe czarne, drewniane ramki dostępne w różnych rozmiarach i w świetnych cenach.;czarne-drewniane-ramki;
141;1;Białe drewniane ramki;48;0;Wysokiej jakości białe drewniane ramki można z łatwością otworzyć od tyłu i włożyć w nie plakat. Mają elegancki, smukły profil i płasko przylegają do ściany. Białe ramki można szykownie połączyć z ramkami w kolorze dębu, nadając ścianie z obrazami stylowego, skandynawskiego charakteru.;Białe drewniane ramki;;Kupuj białe ramki online w Desenio. W naszym sklepie internetowym znajdziesz stylowe, drewniane ramki do plakatów i zdjęć. Dobra jakość i wspaniałe ceny, zamawiaj online.;biale-drewniane-ramki;
143;1;Dębowe ramki;48;0;Wysokiej jakości ramki z surowego dębu można z łatwością otworzyć od tyłu i w prosty sposób umieścić w nich plakat. Mają elegancki, smukły profil i płasko przylegają do ściany. Na ścianie z obrazami ramki dębowe można połączyć z naszymi zawieszkami do plakatów i dębowymi klipsami Moebe, tworząc eleganckie zestawienie.;Dębowe ramki;;Dębowe ramki. Oferujemy szeroki wybór wysokiej jakości niedrogich, dębowych ramek w różnych rozmiarach i kolorach. Zamów na stronie internetowej Desenio.;debowe-ramki;
144;1;Złote ramki;48;0;Wysokiej jakości złote ramki można z łatwością otworzyć od tyłu i włożyć w nie plakat. Mają elegancki, smukły profil i płasko przylegają do ściany. Złote ramki doskonale się zaprezentują na ścianie z obrazami w połączeniu z naszymi złotymi klipsami do plakatów.;Złote ramki;;Kupuj online stylowe i niedrogie złote ramki. Oferujemy złote ramki w 8 różnych rozmiarach. Zamawiaj online ramki i plakaty z szybką dostawą.;zlote-ramki;
227;1;Akcesoria;Strona główna;0;Stwórz pełen zestaw z reprodukcją, korzystając z naszych akcesoriów! Odkryj naszą kolekcję akcesoriów, które mogą Ci się przydać do wykończenia obrazów — od obramowań do oprawiania, po różnorakie elementy do wieszania reprodukcji. Stwórz doskonałą ścianę z obrazami, korzystając z naszych akcesoriów!;Akcesoria;;Znajdź akcesoria, które mogą Ci się przydać do wykończenia reprodukcji — od opraw, po różnorakie elementy do wieszania.;akcesoria;
167;1;Passe-partout;227;0;Dopełnij obraz kartonowym obramowaniem — doskonały sposób na wyróżnienie motywu. Oferujemy wysokiej jakości obramowania do zdjęć w kolorze białym i czarnym. Skorzystaj z naszego przewodnika po rozmiarach umieszczonego pod opisem każdego artykułu, aby dowiedzieć się, jak dobrać odpowiedni rozmiar.;Passe-partout;;Dokup do ramki Passe-Partout, aby wyróżnić obraz! Oferujemy niezawierające kwasów oprawy do obrazów w kolorach szarym, białym i czarnym. Pięknie dopełnią wybrane przez ciebie motywy.;passe-partout;
159;1;Półka na zdjęcia;227;0;Półka do stawiania obrazów to doskonały sposób na stworzenie „elastycznego” kolażu. Wystarczy poprzestawiać obrazy, aby uzyskać całkiem nowy efekt. Uzyskaj prawdziwie stylowy efekt, łącząc obrazy ze swoimi ulubionymi książkami i czasopismami. Ustaw na półce swoje ulubione plakaty z Desenio oraz książki i czasopisma, które lubisz, a nadasz pomieszczeniu osobistego charakteru!;Półka na zdjęcia;;Stylowe drewniane półki na obrazy z Desenio. Półka na obrazy to prosty i stylowy sposób udekorowania wnętrza plakatami i reprodukcjami bez konieczności ich wieszania. Kupuj półki na obrazy w Desenio!;polka-na-zdjecia;
160;1;Klipsy;227;0;W tej kategorii znajdziesz świetnie prezentujące się klipsy do wieszania plakatów. Klipsy metalowe są dostępne w kolorze czarnym, złotym i srebrnym. Stylowy klips Moebe jest wykonany z drewna dębowego. Można ją wykorzystać do powieszenia plakatu na ścianie lub postawienia go na stole. Ten klasyczny skandynawski model to naprawdę prosty i stylowy sposób wyeksponowania ulubionych plakatów.;Klipsy;;Kup klipsy do wieszania plakatów, zdjęć, list i innych rzeczy. W naszym sklepie internetowym oferujemy ładne klipsy w kolorze złotym i czarnym oraz wiele stylowych plakatów.;klipsy;
161;1;Washi tape;227;0;W tej kategorii znajdziesz różne wzory taśm washi. Stwórz pełną uroku dekorację, łącząc ramki, klipsy i taśmy w kolażu obrazów. Użyj taśmy washi, prostego i stylowego sposobu mocowania plakatów! Doskonale nadaje się do pokoju dziecięcego, na tablicę na ścianę lub biurko. Użyj jej także, kiedy chcesz uniknąć wiercenia otworów w ścianie.;Washi tape;;Oferujemy taśmę washi do mocowania plakatów i prac ręcznych. Kup online niedrogą taśmę washi z szybką dostawą. W naszym sklepie internetowym mamy także mnóstwo ładnych plakatów i ramek!;washi-tape;
162;1;Zawieszka do plakatu;227;0;Myśl niestandardowo i wyeksponuj swoje plakaty, korzystając z naszych zawieszek do plakatów. Zawieszki do plakatów to nowoczesny i stylowy sposób wieszania obrazów. Doskonale się prezentują w kolażu obrazów na ścianie. W tym miejscu zebraliśmy cały nasz asortyment różnych zawieszek do plakatów.;Zawieszka do plakatu;;Kupuj online zawieszki doskonale nadające się do ekspozycji plakatów, reprodukcji i zdjęć. Niedrogie dębowe zawieszki do plakatów. Zamów online z szybką dostawą.;zawieszka-do-plakatu;
